85	60	1.4 
60	86	1.4 
86	57	1.2 
57	21	2.5 
21	32	1.4 
32	87	1.3 
87	88	1.4 
88	39	1.8 
39	16	1.5 
16	69	2.4 
69	89	3.4 
22	74	3.0 
74	64	1.2 
64	75	1.8 
75	76	7.3 
76	77	3.8 
77	78	1.2 
78	46	2.1 
46	43	4.8 
43	79	2.3 
79	80	6.7 
80	66	2.2 
66	81	1.1 
81	15	2.9 
82	83	13.1 
83	84	2.4 
84	76	5.5 
45	46	1.2 
46	47	1.7 
47	48	8.0 
48	49	1.0 
49	50	1.7 
50	51	1.0 
51	52	3.3 
44	43	3.5 
43	42	1.3 
42	41	7.3 
41	14	3.3 
14	40	0.9 
40	39	1.8 
39	8	1.8 
8	18	0.8 
18	38	2.1 
38	37	2.6 
37	36	2.9 
53	54	1.8 
54	55	1.1 
55	56	1.3 
56	57	4.2 
57	30	1.2 
23	24	2.5 
24	25	1.8 
25	26	1.3 
26	27	0.9 
27	28	0.9 
28	29	1.0 
29	30	2.6 
30	31	1.5 
31	22	1.5 
22	32	2.2 
32	4	2.9 
4	19	0.8 
19	33	4.0 
33	34	2.5 
34	35	0.9 
1	2	1.3 
2	3	4.1 
3	4	2.4 
4	5	1.4 
5	6	0.9 
6	7	0.8 
7	8	0.7 
8	9	1.3 
9	10	2.0 
10	11	1.4 
12	13	1.2 
13	14	0.7 
14	15	3.0 
15	16	1.8 
16	9	1.8 
9	17	1.1 
17	18	1.0 
18	19	3.7 
19	20	1.0 
20	3	1.2 
3	21	2.9 
21	22	0.9 
22	12	3.7 
58	2	6.0 
2	59	2.2 
59	60	1.1 
60	61	5.1 
61	62	1.2 
62	28	1.0 
28	63	1.0 
63	64	1.1 
64	65	3.5 
65	51	1.1 
51	41	2.0 
41	66	1.7 
66	67	1.0 
67	68	1.8 
68	69	4.3 
69	10	1.6 
10	70	4.8 
70	71	1.7 
71	37	2.5 
37	72	2.7 
71	34	2.3 
34	73	4.4 
73	58	3.3 
77 90 2.4 
